age,matches,totalRuns,battingAverage,strikeRate,fours,sixes,totalWickets,economy,recentForm,consistency,potential
33,24,776,29.02,116.79,81,22,51,6.42,73.41,92.77,0
18,43,1319,28.69,96.51,95,61,59,5.8,57.02,60.69,0
26,33,2041,53.15,137.82,177,85,47,6.09,57.61,58.27,1
25,55,1635,25.46,97.47,128,49,39,5.03,97.69,87.85,0
33,57,2839,41.72,124.46,198,75,31,5.82,73.11,83.21,1
30,38,1775,46.26,98.98,161,45,2,7.26,82.75,64.69,1
23,68,3625,54.18,138.88,282,179,13,6.71,64.89,50.04,1
26,33,1278,39.2,106.6,103,46,31,6.91,86.37,65.95,1
29,61,1549,29.79,102.59,128,63,6,8.24,75.54,85.2,0
30,35,755,25.1,157.14,55,32,31,5.61,79.69,89.66,1
35,50,2433,47.49,111.0,203,86,44,5.74,58.99,55.77,1
21,67,2913,46.06,108.18,244,80,22,5.09,92.71,51.06,1
24,78,1918,26.11,144.62,150,64,47,7.01,78.75,48.92,1
32,28,1652,50.39,134.84,150,51,25,8.82,53.91,48.57,1
25,50,1409,31.09,110.39,112,55,28,8.51,86.13,91.94,1
34,67,1870,34.49,102.87,142,56,60,8.35,56.58,82.49,1
30,23,531,23.34,155.58,63,14,33,8.44,59.43,49.16,0
22,20,792,42.92,151.98,81,30,40,5.57,54.38,71.34,1
19,55,2729,50.11,112.76,184,88,17,7.47,97.17,51.76,1
35,32,1431,40.68,121.96,101,49,40,7.88,64.09,60.48,1
35,39,1777,48.16,120.93,180,68,0,0.0,86.71,71.17,1
22,54,1743,30.04,127.46,152,49,19,5.04,61.11,66.52,0
25,10,451,39.19,103.2,40,18,45,8.32,65.81,64.49,0
26,20,769,34.78,106.77,53,21,43,6.22,74.26,77.42,0
26,62,1408,26.58,94.79,160,48,28,6.22,55.33,76.14,0
18,29,551,21.74,127.45,63,21,45,6.97,49.96,45.41,0
18,73,2245,27.6,119.42,195,81,44,8.56,91.4,61.51,1
22,17,507,29.33,117.47,54,13,16,8.68,51.71,86.41,0
25,59,3035,46.99,121.01,368,103,49,5.42,56.46,78.3,1
30,49,2821,52.77,101.1,213,91,7,6.14,55.93,76.93,1
19,37,1947,54.06,106.52,240,54,37,5.54,45.49,84.46,1
19,70,3420,44.09,100.85,351,114,43,7.78,99.83,91.54,1
19,17,559,32.44,100.77,63,18,20,9.42,86.62,84.43,0
32,34,768,20.75,116.44,78,36,45,6.97,83.34,59.74,0
24,33,1271,39.03,112.66,90,39,55,7.5,53.53,48.44,1
27,43,1860,38.96,121.79,161,53,56,5.08,87.68,87.84,1
25,51,2343,45.24,136.08,218,76,31,8.45,60.57,52.71,1
31,51,1006,23.87,126.62,72,44,55,5.14,55.54,50.35,0
19,59,2743,43.03,126.81,280,100,38,8.23,95.66,45.65,1
33,20,687,36.38,134.72,52,18,52,6.66,90.3,80.42,1
26,77,1519,21.42,94.93,103,38,6,5.46,66.19,56.55,0
24,77,3902,42.99,129.9,327,125,47,5.47,64.69,76.93,1
32,64,2841,50.9,101.68,262,106,10,7.4,96.34,75.0,1
28,80,4151,54.7,112.73,310,145,46,6.46,75.01,57.04,1
30,80,4967,52.42,107.79,446,177,46,5.16,45.9,59.22,1
22,48,860,20.23,158.91,84,24,60,8.1,75.45,58.8,1
35,29,582,23.3,122.23,59,15,15,6.05,50.05,85.55,0
30,37,1889,45.7,140.65,205,51,44,8.16,50.25,85.98,1
27,14,530,45.58,130.34,63,14,22,8.96,96.16,66.72,1
21,39,2109,46.17,149.46,169,64,3,6.37,74.7,47.06,1
22,51,1571,37.58,105.46,119,56,28,8.39,49.95,73.76,0
31,47,2087,47.52,100.36,184,59,35,6.8,72.6,49.25,1
22,27,952,36.83,103.87,79,30,47,7.36,59.64,57.12,0
31,51,1894,43.97,130.32,173,69,12,6.44,46.33,74.69,1
27,31,2023,54.57,133.14,182,88,2,9.16,82.69,56.67,1
22,20,564,23.93,93.82,38,15,52,6.29,89.24,62.16,0
27,67,2679,36.49,113.23,282,86,48,6.16,85.15,69.15,1
22,12,402,33.18,153.42,41,18,12,8.55,47.92,75.9,0
18,18,689,33.6,108.99,54,18,1,6.32,66.26,89.17,0
30,75,3763,54.18,96.97,267,122,11,5.89,75.84,93.34,1
18,15,401,28.66,127.06,37,17,22,8.08,61.63,62.77,0
34,45,2508,48.42,133.81,176,69,1,9.25,57.41,92.46,1
28,60,2457,42.99,96.15,166,76,40,8.09,76.51,65.87,1
31,49,2583,51.84,113.05,273,113,34,8.08,52.6,55.12,1
34,27,1048,35.05,153.63,83,33,10,6.43,97.17,72.87,1
21,33,1120,31.12,151.57,83,29,26,9.33,86.01,60.17,1
26,29,1197,47.27,97.47,89,37,17,7.73,77.8,75.62,1
25,13,419,32.57,138.17,36,13,45,7.92,66.31,54.2,0
33,27,669,25.73,105.84,45,17,60,6.86,99.35,82.12,0
24,18,460,26.2,156.83,37,13,55,7.06,67.27,57.34,0
19,58,3082,45.21,117.59,256,100,41,8.94,73.64,84.35,1
32,68,3988,48.95,92.97,342,142,47,5.18,87.08,64.37,1
19,34,946,30.19,117.86,68,32,27,6.32,82.95,90.95,1
22,69,3685,49.05,121.62,419,103,60,9.02,66.62,72.32,1
28,67,1620,20.87,121.76,113,43,5,6.13,94.89,79.59,0
23,25,610,23.19,139.44,70,17,46,8.56,97.24,70.58,0
30,80,3105,33.32,143.78,259,93,9,5.73,87.3,52.23,1
19,63,2296,30.78,141.11,229,97,57,5.59,79.24,55.14,1
26,11,403,36.05,149.88,50,10,15,5.98,69.96,77.97,1
32,20,946,41.04,90.46,95,29,52,8.71,53.15,47.45,0
29,14,362,25.09,92.27,29,13,5,5.22,54.8,65.85,0
27,32,1625,53.82,142.45,196,45,20,6.66,48.72,63.95,1
31,80,1512,22.27,122.96,107,56,26,7.36,78.66,79.79,0
21,77,4517,54.55,123.86,310,113,18,6.92,59.28,87.39,1
29,26,1177,41.5,124.75,102,32,56,7.74,98.86,80.43,1
18,25,441,20.84,133.78,31,12,26,6.86,75.82,61.69,0
24,11,420,42.42,138.3,49,16,35,6.46,82.72,45.31,1
28,60,2208,45.35,133.12,239,82,21,9.15,71.1,68.96,1
19,27,1150,36.85,133.9,97,43,50,8.66,48.08,91.39,1
34,48,1951,39.77,137.47,239,61,21,8.6,64.45,89.4,1
22,45,2113,49.43,113.74,179,90,38,6.75,92.55,74.76,1
27,50,1871,44.84,109.0,132,68,53,9.28,61.63,55.81,1
21,57,3153,47.47,144.45,283,153,30,9.07,63.71,52.7,1
33,77,2632,30.86,112.91,302,66,33,8.05,84.85,51.64,1
32,59,2127,44.98,126.56,146,63,38,8.92,93.91,61.66,1
21,76,2878,46.82,142.19,216,87,13,6.44,60.22,54.63,1
28,66,2477,43.49,109.09,281,63,35,7.31,64.27,55.33,1
28,44,1002,24.95,139.3,103,46,39,9.02,47.79,72.03,0
18,70,3445,51.62,93.53,400,123,45,7.68,90.99,74.64,1
32,55,1846,30.94,147.22,145,60,59,8.4,52.25,68.28,1
32,22,857,35.95,137.91,76,34,14,5.65,59.19,89.79,1
29,60,1477,26.42,154.21,105,55,31,5.14,64.33,68.77,1
32,31,953,29.88,114.4,82,33,45,8.59,80.72,61.29,0
27,78,2523,36.13,131.34,259,108,30,6.73,89.77,62.04,1
31,65,2791,39.85,113.95,302,83,47,9.19,71.76,73.71,1
32,51,1750,39.43,147.54,119,81,6,8.08,90.09,74.82,1
28,73,2756,42.57,94.3,307,87,48,7.86,53.07,45.01,1
22,67,2666,38.59,117.3,284,79,20,6.35,82.38,84.72,1
31,54,3083,54.66,130.79,266,83,54,6.32,75.19,63.46,1
19,10,421,44.62,147.45,30,11,15,6.94,79.39,74.51,1
30,61,2166,33.35,128.16,191,91,24,8.79,67.95,63.01,1
27,26,517,24.7,95.02,39,17,27,9.39,52.55,51.79,0
31,68,4087,51.28,138.68,330,140,27,7.48,64.54,67.5,1
23,64,2999,41.16,130.46,310,99,26,9.17,46.84,73.82,1
19,71,3148,44.67,97.92,245,137,46,7.37,86.28,87.97,1
26,69,2743,38.09,126.63,282,84,42,9.32,79.85,48.9,1
27,16,664,51.63,127.45,59,17,36,8.3,97.83,66.05,1
27,47,1262,25.86,138.65,124,35,16,5.28,54.3,68.66,0
19,47,2076,48.31,133.7,242,68,54,8.53,78.87,57.6,1
26,42,748,20.5,97.81,61,32,28,6.66,88.04,53.77,0
25,72,1541,26.33,126.92,103,39,38,9.2,72.28,52.71,0
31,59,1763,28.33,120.81,186,50,22,5.24,90.07,58.22,1
19,31,1112,36.24,123.34,75,28,14,6.71,71.1,80.28,1
22,77,4549,50.46,90.83,408,135,33,8.07,95.47,47.05,1
29,65,2444,41.37,135.64,247,67,16,7.94,87.52,64.56,1
25,34,1555,38.2,137.44,152,76,0,0.0,45.66,86.58,1
21,77,1615,23.64,121.22,161,67,1,7.79,77.68,47.84,0
24,25,1279,44.78,98.4,143,38,57,7.92,55.16,85.16,1
21,33,1118,28.87,122.69,89,29,17,8.46,81.72,79.61,0
28,42,1197,25.67,95.18,112,44,3,6.16,54.79,85.64,0
20,72,3740,54.28,104.05,298,168,34,8.46,80.38,55.92,1
32,43,1044,23.62,95.1,107,36,57,7.24,45.05,77.64,0
19,59,2010,29.33,139.0,167,66,60,8.47,67.22,68.91,1
20,79,2370,27.9,116.91,176,105,34,9.21,82.5,62.95,1
30,17,598,42.13,157.12,50,15,5,8.79,60.95,83.02,1
24,32,1342,39.41,157.73,132,48,6,7.84,49.67,62.96,1
32,34,921,24.9,103.52,75,30,4,8.57,72.48,77.17,0
32,12,285,21.3,93.92,34,12,51,7.94,96.7,71.16,0
35,29,1104,45.94,106.31,83,37,1,7.12,47.52,90.9,1
22,11,264,26.03,93.5,19,9,10,8.76,89.96,48.2,0
21,73,2459,40.82,133.09,261,91,53,9.42,62.83,78.92,1
35,27,747,31.26,157.53,89,31,4,5.54,67.83,52.06,0
29,80,2130,25.78,107.06,238,59,40,7.76,45.86,83.88,0
33,20,337,20.22,102.56,26,8,26,8.12,71.18,84.61,0
22,36,882,25.01,108.97,91,37,44,5.17,72.49,54.0,0
20,48,1380,32.17,90.32,156,45,6,7.79,99.27,88.14,0
34,38,1216,36.25,133.85,145,54,9,8.08,71.09,93.43,1
23,30,1379,43.45,93.02,137,48,21,7.78,69.92,89.5,1
21,16,933,52.37,102.31,81,41,57,6.06,76.89,67.24,1
31,35,1440,46.15,152.89,164,58,15,8.32,65.65,88.49,1
25,19,801,36.48,123.91,88,20,29,5.8,70.18,63.67,0
24,55,2533,54.14,104.15,197,119,8,5.5,68.0,68.28,1
28,38,2163,51.02,132.25,173,67,10,7.6,57.63,72.64,1
31,76,2924,37.12,159.7,210,114,46,6.93,58.63,88.63,1
31,38,1672,51.21,131.42,139,83,2,5.18,87.27,68.53,1
19,64,2764,38.59,123.55,201,95,15,5.37,83.12,82.65,1
31,37,965,24.64,110.71,111,32,19,5.73,76.37,67.96,0
18,68,2663,36.23,99.7,286,71,40,7.09,92.32,76.67,1
20,59,2459,51.27,113.3,223,96,60,7.76,56.39,73.76,1
20,52,2802,45.75,93.84,220,74,7,6.72,47.25,68.27,1
29,32,1399,42.69,139.34,104,61,21,6.07,71.32,50.68,1
24,38,1188,31.22,152.86,108,56,23,6.55,73.97,69.31,1
21,70,3180,44.84,137.48,316,98,51,8.03,98.79,79.66,1
20,34,1449,51.22,122.05,101,56,4,5.49,83.34,58.8,1
33,29,1542,50.62,126.45,153,39,34,9.19,68.11,68.7,1
18,47,1402,26.62,91.54,101,46,21,6.85,80.53,62.14,0
28,72,3336,40.77,138.78,300,127,8,9.04,88.41,60.32,1
25,71,2668,33.02,110.17,295,103,10,7.78,74.44,53.04,0
23,32,1685,49.38,138.5,185,68,2,9.47,69.25,73.73,1
29,33,956,27.18,139.5,64,41,28,7.43,61.59,53.13,0
18,61,3782,52.59,143.8,260,163,47,7.46,80.6,70.37,1
27,70,3960,51.36,157.87,264,118,51,7.54,69.32,90.34,1
21,71,3731,51.51,99.76,367,133,53,5.99,62.95,62.87,1
24,77,1949,27.78,155.5,238,63,28,8.05,98.67,92.88,1
30,34,1269,37.17,132.22,151,38,25,5.67,65.33,87.69,1
29,11,392,29.96,114.59,27,18,46,9.0,67.86,82.08,0
32,46,1371,25.73,140.96,104,48,53,7.64,56.43,49.3,0
33,77,4971,54.53,94.63,373,228,26,7.87,54.62,58.67,1
32,27,666,26.97,148.26,58,18,19,8.76,75.76,60.2,0
32,38,720,20.94,90.17,49,19,30,5.56,60.82,78.3,0
23,72,3022,51.74,135.14,226,101,4,7.7,71.43,63.09,1
31,43,1945,41.98,123.32,220,64,36,5.08,76.99,57.98,1
22,50,1703,36.14,138.53,203,62,40,9.1,60.94,62.8,1
34,19,630,37.99,143.65,72,17,34,6.45,91.47,60.81,1
27,44,1622,43.99,138.18,134,44,0,0.0,60.48,51.85,1
33,62,1663,31.91,153.76,183,68,12,8.58,82.93,72.93,1
34,78,3929,44.94,139.16,359,102,7,8.68,71.37,91.17,1
27,56,1664,24.87,120.94,142,42,11,8.19,89.8,46.44,0
25,26,1157,49.99,99.97,130,51,5,6.91,51.14,83.15,1
18,71,2784,46.51,92.98,205,91,3,7.11,47.38,90.43,1
27,11,596,46.41,144.77,63,15,11,8.02,53.01,46.46,1
26,54,1941,32.33,149.86,157,64,4,5.45,45.77,73.91,1
24,34,2013,53.75,102.02,250,58,59,5.96,83.93,70.21,1
29,33,1018,35.39,157.04,97,36,13,7.31,86.88,65.38,1
28,25,906,36.31,126.38,86,35,46,5.18,51.36,61.41,0
27,68,3319,41.01,111.84,298,106,18,9.43,92.12,66.4,1
33,57,1492,26.28,159.91,170,51,42,8.04,66.71,50.96,1
21,31,645,22.26,158.26,53,16,7,6.05,72.45,66.24,0
26,61,2336,32.46,136.67,156,77,9,8.46,58.79,50.4,0
33,39,1375,41.99,99.42,164,64,43,5.12,78.25,53.95,1
28,29,979,30.6,133.63,77,32,31,8.57,81.42,55.1,0
33,74,2468,29.16,114.05,208,63,2,9.46,51.55,89.01,0
32,50,2029,49.85,120.98,219,61,49,6.36,72.03,80.3,1
22,49,1862,45.05,124.12,146,56,43,7.43,75.92,68.49,1
23,74,1683,21.95,108.44,158,50,49,9.4,46.55,61.02,0
19,26,1405,49.29,114.42,171,37,21,6.71,99.56,66.41,1
31,54,1060,21.98,107.1,104,48,44,5.29,63.57,60.25,0
18,78,2806,31.41,122.26,234,73,17,5.09,46.22,68.48,0
28,58,1944,39.96,112.57,170,57,13,6.51,87.07,70.14,1
28,31,1254,41.52,115.43,109,33,50,5.34,56.77,87.52,1
26,16,545,30.41,130.15,44,13,45,8.8,63.53,49.74,0
20,77,3154,36.63,104.68,251,121,51,6.35,62.23,78.17,1
31,61,1876,28.79,126.08,158,49,40,8.16,76.73,88.14,1
24,69,2277,29.38,134.65,162,59,59,7.55,73.72,76.34,1
29,69,1865,25.17,100.53,184,64,20,8.87,79.87,90.56,0
31,44,1939,48.83,135.22,158,68,7,5.67,88.84,46.39,1
27,69,2472,36.99,159.39,172,102,17,5.61,89.19,57.92,1
35,32,1482,42.55,92.96,109,70,57,5.38,92.69,75.08,1
31,56,2336,43.51,152.0,168,63,15,5.5,96.31,81.72,1
34,77,1985,28.81,151.92,224,54,21,8.75,89.32,81.86,1
25,64,1566,27.63,97.48,157,55,55,7.65,65.61,69.52,0
21,50,1756,39.1,123.24,176,49,9,6.63,90.18,80.78,1
18,14,814,49.45,136.36,63,22,15,6.14,80.14,64.23,1
29,25,945,38.72,106.55,117,24,59,9.4,49.96,57.78,0
25,48,1531,27.36,152.32,123,40,49,7.9,60.07,84.47,1
20,72,2985,36.49,118.91,229,79,52,5.45,59.35,53.02,1
20,55,1946,34.73,141.05,189,57,48,5.23,79.66,77.08,1
22,10,314,34.02,133.98,36,13,33,8.21,80.7,83.38,1
22,62,2934,47.74,112.36,223,116,43,7.67,60.5,61.38,1
20,63,1969,32.87,117.54,142,62,1,9.27,80.59,91.16,1
25,21,1227,54.09,103.88,133,43,27,7.7,97.69,52.46,1
23,25,568,20.49,126.81,39,15,31,5.53,55.48,80.68,0
26,46,2063,46.13,116.75,218,84,52,6.27,68.01,78.86,1
31,28,526,21.01,158.33,47,21,37,8.08,45.57,67.91,0
22,51,2441,54.1,117.83,228,85,38,6.15,48.23,49.76,1
28,40,1521,36.48,114.8,119,42,45,8.37,58.95,47.28,0
30,48,2219,54.21,136.99,155,106,11,6.17,96.17,70.19,1
32,26,585,23.14,139.72,59,22,8,7.25,60.46,93.67,0
29,65,2031,29.9,151.39,152,80,20,6.96,85.53,53.25,1
33,29,1206,39.45,154.6,108,50,3,6.03,59.31,46.79,1
32,65,1560,24.06,152.66,140,39,35,7.18,91.52,69.65,1
22,25,736,32.24,104.26,53,21,52,6.23,77.21,89.54,1
18,77,4213,46.84,102.64,433,140,6,8.99,82.47,46.3,1
21,60,1671,33.07,155.04,162,81,29,8.74,69.97,77.98,1
26,10,330,31.53,93.07,29,8,46,9.08,52.11,84.85,0
19,46,1192,31.31,93.89,81,43,25,6.15,87.4,57.0,0
30,21,415,20.72,104.58,38,12,41,5.69,89.06,59.93,0
27,26,801,32.57,96.73,85,27,24,7.14,68.27,73.15,0
31,57,2294,41.49,120.39,276,85,29,8.04,84.25,77.38,1
33,77,2965,42.03,126.73,268,77,30,6.35,82.64,94.21,1
27,41,1286,38.31,110.68,150,61,6,7.3,70.56,65.65,1
26,55,1592,28.92,95.72,180,47,11,8.54,47.49,87.15,0
31,48,1640,30.99,140.69,147,45,21,9.35,55.3,88.57,1
23,20,1060,46.15,132.28,121,34,0,0.0,45.73,64.75,1
33,68,3566,44.21,150.81,291,119,39,8.66,82.99,75.84,1
30,48,970,23.07,99.46,70,28,12,8.87,80.67,55.46,0
25,65,3265,49.47,150.07,379,92,9,7.13,54.14,46.09,1
22,66,4057,53.74,123.0,335,168,36,8.73,63.36,64.59,1
21,65,3862,54.28,149.4,317,124,18,5.17,73.23,64.98,1
33,39,1700,45.0,126.98,166,79,57,7.92,51.43,89.46,1
29,67,2723,44.41,91.46,291,101,14,7.28,82.67,74.38,1
32,26,1265,50.91,140.61,115,32,41,8.31,88.99,84.8,1
23,36,1147,29.89,142.45,128,47,38,7.21,96.87,84.67,1
33,48,1625,28.22,128.98,154,64,43,5.71,94.2,86.4,1
19,18,510,31.82,97.98,42,17,21,8.53,87.36,83.47,0
35,44,2598,51.37,149.74,212,117,3,9.17,70.14,66.89,1
21,23,1245,47.36,132.68,142,39,32,5.47,92.9,76.5,1
29,30,1507,45.49,139.57,131,40,9,7.91,52.58,61.73,1
24,66,2857,53.94,143.85,206,96,18,7.27,65.48,49.26,1
31,56,2592,42.03,107.18,221,72,8,8.61,67.51,65.67,1
32,76,2950,47.81,115.32,327,146,51,7.33,63.61,48.48,1
30,31,888,35.19,117.53,61,38,36,5.26,84.24,76.58,1
34,47,1760,34.68,152.0,124,51,20,9.09,60.39,45.4,1
34,28,1099,44.51,121.23,93,30,41,6.99,89.65,62.26,1
30,35,1805,50.83,95.9,168,52,56,5.57,60.62,94.6,1
20,75,3251,39.31,126.49,356,158,50,7.43,90.77,57.93,1
27,64,2876,54.54,97.73,271,88,22,5.56,96.77,82.83,1
32,48,1798,40.04,90.36,186,51,37,7.55,79.53,89.72,1
35,39,1401,32.26,109.92,107,41,45,6.7,50.79,81.88,0
34,34,1392,48.8,115.29,107,38,5,5.42,52.15,66.24,1
24,67,1463,22.73,137.38,122,41,55,6.19,68.29,69.94,1
32,72,2841,45.61,119.18,246,95,29,5.58,92.48,80.23,1
21,37,1147,35.94,92.28,96,29,7,7.71,51.65,65.43,0
27,15,529,38.3,98.24,49,20,1,8.56,77.43,52.11,0
19,49,2824,51.12,105.09,247,125,22,5.3,71.46,47.23,1
27,67,3416,51.51,144.69,261,106,48,5.62,86.89,76.82,1
32,29,1634,50.32,112.77,129,57,14,9.05,47.52,61.95,1
32,45,2076,42.61,150.62,172,57,45,6.39,80.42,77.26,1
20,34,2003,53.43,127.93,136,65,48,7.14,51.62,89.84,1
35,33,1562,53.68,109.25,113,42,37,7.0,78.38,85.35,1
30,15,522,37.2,155.37,56,25,33,6.43,51.31,57.86,1
21,79,1845,25.89,100.08,213,70,26,8.05,97.86,47.95,0
23,13,490,44.97,110.86,54,12,16,6.69,51.65,86.39,1
24,40,1847,46.32,131.02,139,66,7,6.21,75.42,60.92,1
20,71,1738,21.01,134.35,213,55,37,8.04,75.51,57.32,0
22,48,2179,39.89,121.22,189,61,9,6.68,88.01,94.27,1
35,64,2804,53.65,128.86,204,71,39,6.3,45.03,93.6,1
33,44,1714,40.93,148.76,163,52,37,8.78,53.88,59.07,1
35,18,466,30.52,117.67,51,14,17,8.95,72.77,55.54,0
28,53,2424,42.23,158.57,244,72,20,6.54,77.97,67.99,1
18,27,1140,42.63,90.14,79,34,26,7.5,71.89,79.82,1
30,78,1889,22.84,151.37,160,49,52,8.02,64.41,78.61,1
30,55,2074,33.54,148.74,139,92,23,9.21,57.18,67.23,1
18,45,1728,43.82,139.64,126,53,51,8.23,72.16,56.71,1
29,14,452,29.83,153.32,47,18,52,7.87,60.25,50.55,0
34,73,2076,25.97,103.56,163,64,11,5.29,48.58,51.41,0
26,39,1803,50.84,141.02,129,88,44,8.05,82.44,75.72,1
32,10,621,52.83,134.87,74,16,27,8.8,51.69,65.34,1
34,69,2106,37.35,126.21,161,100,58,6.89,45.28,67.44,1
24,52,963,22.86,130.03,73,24,27,9.31,55.83,90.85,0
28,49,882,22.2,133.77,80,43,51,7.82,58.77,61.72,0
21,70,1630,28.34,113.86,157,45,60,5.33,69.12,75.0,1
21,67,2223,40.26,95.99,269,84,54,8.12,48.41,84.13,1
32,17,429,30.55,133.83,33,13,18,8.82,78.95,65.08,0
31,39,2057,50.26,145.12,184,70,27,8.96,63.68,75.96,1
18,68,2184,38.1,131.15,270,63,37,8.55,76.53,54.68,1
34,42,1428,32.44,123.7,153,62,2,5.27,68.97,60.58,0
29,49,1700,40.43,127.88,150,53,18,6.66,77.25,45.4,1
22,17,492,28.31,147.34,58,18,12,7.88,48.76,55.06,0
24,70,3226,44.32,158.73,312,102,21,7.77,53.93,65.93,1
32,15,591,37.36,154.4,45,20,13,6.08,97.39,81.73,1
28,58,1886,27.19,102.9,178,87,1,7.5,69.22,52.12,0
29,15,741,54.14,103.94,77,29,11,6.53,54.82,72.73,1
18,32,1280,49.5,153.75,100,46,50,8.98,56.56,61.92,1
32,40,1144,32.94,116.06,97,31,39,8.97,48.6,88.92,0
22,26,1182,47.82,103.42,111,36,40,6.1,78.88,47.31,1
24,78,2124,30.3,100.4,171,82,8,8.83,93.72,93.42,1
24,20,992,47.46,145.37,108,35,56,7.9,72.42,70.46,1
32,32,1078,31.26,116.17,82,36,17,7.62,88.48,76.91,0
19,36,1141,27.68,104.21,105,43,56,6.7,91.33,52.86,0
26,80,1686,22.97,142.61,144,68,2,7.09,68.44,76.06,0
32,65,2066,34.31,146.32,193,87,14,6.2,94.58,48.79,1
27,74,3129,37.95,135.06,215,142,4,6.62,63.36,72.3,1
28,42,1379,30.6,147.09,138,40,8,9.49,85.69,82.62,1
26,11,484,46.95,109.73,32,12,52,7.61,70.96,77.77,1
34,29,1588,50.29,105.93,167,64,37,8.54,84.74,82.88,1
32,53,2213,47.72,111.92,165,65,13,6.97,46.66,87.65,1
22,26,798,30.7,141.65,63,29,14,6.89,67.19,79.29,0
35,48,1679,31.41,91.63,116,72,60,9.47,88.95,73.41,1
30,58,1596,27.15,117.34,171,71,36,9.33,61.76,76.95,0
23,23,1134,43.62,102.43,92,55,12,5.31,60.61,93.15,1
25,47,1666,43.08,94.9,143,71,55,9.09,99.43,64.56,1
22,78,2581,34.64,142.02,180,106,55,5.93,84.03,66.61,1
33,30,1277,41.13,155.74,110,37,17,5.91,69.52,94.55,1
30,41,1813,38.4,153.72,161,57,47,5.41,95.54,77.31,1
29,48,1843,33.69,147.64,168,78,39,8.3,95.1,67.89,1
23,22,665,33.77,156.2,47,26,40,7.42,48.67,78.33,1
24,73,2130,34.39,143.33,201,60,32,8.45,69.8,61.3,1
26,36,1125,37.71,122.35,87,32,24,6.55,55.69,64.97,1
19,11,270,28.77,139.64,21,9,29,5.31,58.33,72.42,0
32,27,851,36.48,109.54,61,26,11,6.32,66.5,71.73,0
20,11,453,43.71,100.74,47,21,43,7.4,47.63,67.1,0
34,23,635,33.67,111.58,79,17,49,5.91,94.98,57.48,1
24,21,347,20.56,91.96,25,10,4,5.99,88.83,89.11,0
23,31,752,21.54,125.88,73,23,39,5.93,96.64,72.09,0
21,39,931,27.48,114.96,86,35,24,5.96,81.19,56.0,0
26,57,1184,21.54,151.98,88,39,6,8.21,95.72,84.56,1
23,42,2683,53.57,131.99,208,79,49,8.12,79.94,61.6,1
28,71,1849,22.36,91.24,165,61,47,6.05,99.36,74.37,0
25,12,460,41.57,152.77,34,13,39,5.36,72.43,51.88,1
24,29,860,33.15,134.94,65,21,28,8.33,60.3,61.43,0
19,76,4079,47.71,119.04,307,165,46,6.49,74.66,57.11,1
25,38,1456,41.28,116.7,131,72,55,7.21,47.87,92.68,1
22,36,895,24.39,102.16,65,37,32,5.35,62.13,81.25,0
24,41,1315,34.84,132.41,109,33,12,6.22,49.4,84.06,0
29,60,1931,33.22,122.95,157,67,9,8.69,46.09,84.68,0
30,64,3731,49.89,143.12,306,161,46,5.79,61.82,64.02,1
27,58,2147,39.67,123.66,165,89,58,5.85,72.54,45.64,1
29,72,2355,34.16,119.11,178,85,19,7.88,67.48,74.42,1
19,25,734,33.47,129.59,66,29,58,8.38,84.0,62.43,1
29,17,795,42.78,154.86,81,38,52,6.63,46.55,80.33,1
22,43,1521,41.19,156.1,156,48,42,8.79,87.4,45.62,1
30,60,2232,44.71,158.19,155,59,10,8.73,61.62,57.64,1
35,58,2586,40.51,141.38,178,69,6,7.86,63.94,83.83,1
22,44,1950,46.21,155.1,191,49,52,7.21,87.56,49.84,1
31,77,2589,34.59,110.18,280,109,8,5.89,97.17,54.1,1
32,37,856,26.5,94.13,64,33,57,8.92,95.21,67.04,0
21,31,600,22.79,96.0,71,29,15,7.15,50.54,78.64,0
19,44,2104,46.31,90.51,141,95,33,8.56,73.6,63.78,1
26,72,2558,36.56,113.59,241,67,20,8.68,81.58,92.05,1
30,17,1033,54.14,151.12,128,27,25,8.26,52.64,89.4,1
21,77,2582,29.78,138.95,244,79,42,8.91,81.31,70.75,1
18,51,858,20.58,115.21,62,32,28,6.05,85.66,69.23,0
20,54,2214,34.98,155.2,148,59,57,5.45,78.39,64.24,1
22,76,4184,50.67,144.94,508,139,5,6.36,75.18,78.65,1
32,31,1581,51.37,156.85,134,63,10,8.39,49.92,77.99,1
31,13,386,25.61,155.03,28,15,16,8.0,81.88,92.58,0
22,78,3678,42.17,124.44,356,150,36,8.45,80.42,75.03,1
30,58,2951,42.89,144.96,266,119,16,5.52,49.9,49.38,1
24,24,889,40.05,98.92,83,25,19,5.28,91.59,71.78,1
31,50,2757,46.99,145.83,310,82,37,6.0,74.61,64.77,1
32,50,1422,25.06,156.0,123,48,38,6.28,91.7,82.35,1
19,50,1308,30.81,159.32,87,38,30,7.84,61.03,55.79,1
30,17,1044,54.34,113.32,110,30,51,6.01,95.77,81.79,1
23,72,3685,45.46,110.94,256,158,1,7.47,82.28,61.87,1
29,60,1845,33.69,126.95,143,77,54,7.47,62.79,49.87,1
19,48,1477,36.01,101.46,114,57,9,5.94,55.76,85.22,0
18,56,2724,45.41,130.3,182,118,60,9.42,54.25,78.97,1
19,22,840,32.45,123.17,95,27,21,7.67,79.48,93.49,1
30,41,864,21.19,106.86,67,22,41,8.35,99.51,83.79,0
20,69,3156,50.27,135.52,251,115,7,5.52,80.28,51.1,1
